grupo,idioma,linea,atributos_completos
HOME,es,1159,"{""tag"":""img"",""line"":1159,""alt"":""Persona llevando patines en línea en Vila Olímpica, Barcelona"",""height"":""600"",""loading"":""lazy"",""src"":""https://rentalscooterbarcelona.com/images/9.webp"",""width"":""800""}"
HOME,es,1160,"{""tag"":""img"",""line"":1160,""alt"":""Longboards y cascos expuestos dentro de la tienda RSB en Vila Olímpica, Barcelona"",""height"":""600"",""loading"":""lazy"",""src"":""https://rentalscooterbarcelona.com/images/skateboards-rental-barcelona.webp"",""width"":""800""}"
HOME,es,1161,"{""tag"":""img"",""line"":1161,""alt"":""Entrega de scooter 125cc de RSB en Barcelona"",""height"":""600"",""loading"":""lazy"",""src"":""https://rentalscooterbarcelona.com/images/rsb-barcelona-rental-scooter-barcelona.webp"",""width"":""800""}"
HOME,es,1162,"{""tag"":""img"",""line"":1162,""alt"":""Cliente alquilando patines en línea en RSB en Vila Olímpica, Barcelona"",""height"":""600"",""loading"":""lazy"",""src"":""https://rentalscooterbarcelona.com/images/2.webp"",""width"":""800""}"
HOME,es,1163,"{""tag"":""img"",""line"":1163,""alt"":""Tres personas haciendo longboard por el paseo marítimo de la Barceloneta al atardecer, Barcelona"",""height"":""600"",""loading"":""lazy"",""src"":""https://rentalscooterbarcelona.com/images/rsb-barcelona-rental-rsb-villa-olimpica-del-poble-nou--rent-skateboard-barcelona-soleado-800-v1.webp"",""width"":""800""}"
HOME,es,1184,"{""tag"":""img"",""line"":1184,""alt"":""Interior de la tienda RSB Rental Scooter Barcelona en Vila Olímpica con patines en línea, bicicletas y skateboards de alquiler"",""decoding"":""async"",""height"":""630"",""loading"":""lazy"",""sizes"":""(max-width: 768px) 92vw, 900px"",""src"":""https://rentalscooterbarcelona.com/images/rsb-barcelona-rental-shop-interior-inline-skates-bike-vila-olimpica-1200.webp"",""srcset"":""https://rentalscooterbarcelona.com/images/rsb-barcelona-rental-shop-interior-inline-skates-bike-vila-olimpica-640.webp 640w, https://rentalscooterbarcelona.com/images/rsb-barcelona-rental-shop-interior-inline-skates-bike-vila-olimpica-900.webp 900w, https://rentalscooterbarcelona.com/images/rsb-barcelona-rental-shop-interior-inline-skates-bike-vila-olimpica-1200.webp 1200w"",""style"":""width:100%;height:auto;object-fit:cover"",""width"":""1200""}"
HOME,es,1218,"{""tag"":""img"",""line"":1218,""alt"":""Logotipo de RSB Rental Scooter Barcelona"",""decoding"":""async"",""height"":""44"",""loading"":""lazy"",""sizes"":""44px"",""src"":""https://rentalscooterbarcelona.com/images/rsb-barcelona-rental-logo-2-88-v1.webp"",""srcset"":""https://rentalscooterbarcelona.com/images/rsb-barcelona-rental-logo-2-88-v1.webp 88w, https://rentalscooterbarcelona.com/images/rsb-barcelona-rental-logo-2-140-v1.webp 140w"",""width"":""44""}"
HOME,fr,601,"{""tag"":""img"",""line"":601,""alt"":""Logo de RSB Rental Scooter Barcelona"",""decoding"":""async"",""height"":""70"",""sizes"":""70px"",""src"":""https://rentalscooterbarcelona.com/images/rsb-barcelona-rental-logo-2-140-v1.webp"",""srcset"":""https://rentalscooterbarcelona.com/images/rsb-barcelona-rental-logo-2-88-v1.webp 88w, https://rentalscooterbarcelona.com/images/rsb-barcelona-rental-logo-2-140-v1.webp 140w"",""width"":""70""}"
HOME,fr,682,"{""tag"":""img"",""line"":682,""alt"":""Groupe profitant de la location de scooter, de rollers et de vélos près de la plage de la Barceloneta et de la Vila Olímpica à Barcelone"",""class"":""zoom"",""decoding"":""async"",""fetchpriority"":""high"",""height"":""900"",""sizes"":""100vw"",""src"":""https://rentalscooterbarcelona.com/images/rsb-barcelona-rental-hero-group-beach-1600-v1.webp"",""srcset"":""https://rentalscooterbarcelona.com/images/rsb-barcelona-rental-hero-group-beach-480-v1.webp 480w, /images/rsb-barcelona-rental-hero-group-beach-720-v2.webp 720w, https://rentalscooterbarcelona.com/images/rsb-barcelona-rental-hero-group-beach-800-v1.webp 800w, https://rentalscooterbarcelona.com/images/rsb-barcelona-rental-hero-group-beach-1600-v1.webp 1600w"",""width"":""1600""}"
HOME,fr,746,"{""tag"":""img"",""line"":746,""alt"":""Scooter à louer chez RSB à Vila Olímpica, Barcelone"",""decoding"":""async"",""height"":""936"",""loading"":""lazy"",""sizes"":""(max-width: 640px) 92vw, (max-width: 1024px) 44vw, 420px"",""src"":""https://rentalscooterbarcelona.com/images/rsb-scooter-rental-barcelona-vila-olimpica-800.webp"",""srcset"":""https://rentalscooterbarcelona.com/images/rsb-scooter-rental-barcelona-vila-olimpica-480.webp 480w, https://rentalscooterbarcelona.com/images/rsb-scooter-rental-barcelona-vila-olimpica-800.webp 800w"",""width"":""800""}"
